Rank,TeamId,RankingPoints,MatchPoints,ChargeStationPoints,AutoPoints,Wins,Losses,Ties,Disqualifications,Played
1,234,4,294,42,138,1,0,0,0,1
2,3947,4,294,42,138,1,0,0,0,1
3,45,4,294,42,138,1,0,0,0,1
4,447,4,294,42,138,1,0,0,0,1
5,7657,8,587,84,270,2,0,0,0,2
6,1555,4,293,42,132,1,0,0,0,1
7,7198,4,291,42,120,1,0,0,0,1
8,829,4,291,42,120,1,0,0,0,1
9,7454,4,291,42,120,1,0,0,0,1
10,1501,8,499,84,273,2,0,0,0,2
11,4485,4,205,42,135,1,0,0,0,1
12,2909,4,205,42,135,1,0,0,0,1
13,4580,5,467,64,177,1,1,0,0,2
14,3176,5,441,42,144,1,1,0,0,2
15,3890,5,441,42,144,1,1,0,0,2
16,3940,4,335,42,132,1,1,0,0,2
17,3494,2,320,22,45,0,2,0,0,2
18,5484,1,150,0,9,0,1,0,0,1
19,1720,1,150,0,9,0,1,0,0,1
20,7617,1,150,0,9,0,1,0,0,1
21,5188,1,147,0,6,0,1,0,0,1
22,2171,1,147,0,6,0,1,0,0,1
23,1741,1,147,0,6,0,1,0,0,1
24,135,1,182,22,48,0,2,0,0,2
25,3559,0,42,0,0,0,1,0,0,1
26,6721,0,42,0,0,0,1,0,0,1
27,71,0,9,0,9,0,1,0,0,1
28,8564,0,9,0,9,0,1,0,0,1