Number,Name,Nickname,City,StateProv,Country,RookieYear,RobotName,HasConnected
45,"TechnoKats Robotics Team","TechnoKats","","","",0,"",false
71,"Team Hammond","Team Hammond","","","",0,"",false
135,"Penn Robotics Black Knights","Black Knights","","","",0,"",false
234,"Cyber Blue","Cyber Blue","","","",0,"",false
447,"Team Roboto","Team Roboto","","","",0,"",false
829,"The Digital Goats","The Digital Goats","","","",0,"",false
1501,"Team THRUST","THRUST","","","",0,"Stryker",false
1555,"Cryofrost","Cryofrost","","","",0,"",false
1720,"PhyXTGears","PhyXTGears","","","",0,"",false
1741,"Red Alert","Red Alert","","","",0,"",false
2171,"RoboDogs","RoboDogs","","","",0,"",false
2909,"Zebra Bots","Zebra Bots","","","",0,"",false
3176,"Purple Precision","Purple Precision","","","",0,"",false
3494,"The Quadrangles","The Quadrangles","","","",0,"",false
3559,"Thundercats","Thundercats","","","",0,"",false
3890,"Breaking Away","Breaking Away","","","",0,"",false
3940,"CyberTooth","CyberTooth","","","",0,"",false
3947,"The Last Crusaders","The Last Crusaders","","","",0,"",false
4485,"Tribe Tech Robotics","Tribe Tech Robotics","","","",0,"",false
4580,"Conductors","Conductors","","","",0,"",false
5188,"Area 5188: Classified Robotics","Classified Robotics","","","",0,"",false
5484,"Career Academy Robotics - Wolf Pack","WolfPack","","","",0,"",false
6721,"Tindley Trailblazers","Tindley Trailblazers","","","",0,"",false
7198,"TL Fearsome Gears","TL Fearsome Gears","","","",0,"",false
7454,"Huskies on Hogs","Huskies on Hogs","","","",0,"",false
7617,"RoboBlazers","RoboBlazers","","","",0,"",false
7657,"ThunderBots","ThunderBots","","","",0,"",false
8564,"Disco Ducks","Disco Ducks","","","",0,"",false